"change_id","ccfinder","cloneworks_type1","cloneworks_type2blind","cloneworks_type3pattern","cloneworks_type3token","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"42250",,,,"42252, 42253","42252, 42253","42252","42252, 42253",,,,,
"42251",,,,"42252, 42253","42252, 42253",,"42253",,,,,
"42252",,,,"42250, 42251","42250, 42251","42250","42250, 42253",,,,,
"42253",,,,"42250, 42251","42250, 42251",,"42250, 42251, 42252",,,,,
"42288",,,,"42289",,,,,,,,
"42289",,,,"42288",,,,,,,,
"42312","42313",,"42313","42313","42313",,,,,,"42313",
"42313","42312",,"42312","42312","42312",,,,,,"42312",
"42318","42323","42323","42323","42323","42323",,,,"42323","42323","42323",
"42323","42318","42318","42318","42318","42318",,,,"42318","42318","42318",
"42338",,,,,,"42384, 42385","42384","42384","42384, 42385, 42386",,,"42384, 42385"
"42339","42385, 42386, 42442, 42443, 42444","42385, 42386, 42443, 42444","42385, 42386, 42443, 42444","42385, 42386, 42443, 42444","42385, 42386, 42443, 42444","42384, 42385, 42442, 42443",,,"42384, 42385, 42386, 42442, 42443, 42444","42385, 42386, 42443, 42444","42385, 42386, 42443, 42444","42384, 42385, 42442, 42443"
"42340","42385, 42386, 42442, 42443, 42444","42385, 42386, 42443, 42444","42385, 42386, 42443, 42444","42385, 42386, 42443, 42444","42385, 42386, 42443, 42444",,,,"42384, 42385, 42386, 42442, 42443, 42444","42385, 42386, 42443, 42444","42385, 42386, 42443, 42444",
"42346",,,,,,,"42435, 42436",,,,,
"42355","42357, 42358",,"42357","42357, 42436, 42437, 42438","42357","42357, 42358","42357, 42358, 42435, 42436",,,"42357, 42358","42357, 42358",
"42356","42357, 42358",,,,,"42357, 42358",,,,"42357, 42358","42357, 42358",
"42357","42355, 42356",,"42355","42355, 42436, 42437, 42438","42355","42355, 42356","42355, 42435, 42436",,,"42355, 42356","42355, 42356",
"42358","42355, 42356",,,,,"42355, 42356","42355, 42435, 42436",,,"42355, 42356","42355, 42356",
"42384",,,,,,"42338, 42339","42338","42338","42338, 42339, 42340",,,"42338, 42339"
"42385","42339, 42340, 42442, 42443, 42444","42339, 42340, 42443, 42444","42339, 42340, 42443, 42444","42339, 42340, 42443, 42444","42339, 42340, 42443, 42444","42338, 42339, 42442, 42443",,,"42338, 42339, 42340, 42442, 42443, 42444","42339, 42340, 42443, 42444","42339, 42340, 42443, 42444","42338, 42339, 42442, 42443"
"42386","42339, 42340, 42442, 42443, 42444","42339, 42340, 42443, 42444","42339, 42340, 42443, 42444","42339, 42340, 42443, 42444","42339, 42340, 42443, 42444",,,,"42338, 42339, 42340, 42442, 42443, 42444","42339, 42340, 42443, 42444","42339, 42340, 42443, 42444",
"42395",,,,,,,"42430, 42431",,,,,
"42396",,,,,,,"42430, 42431",,,,,
"42397",,,,,,,"42430, 42431",,,,,
"42399",,,,"42425, 42435, 42451, 42452, 42458",,,,,,,,
"42425",,,,"42399, 42435, 42451, 42452, 42458",,,,,,,,
"42430",,,,,,,"42395, 42396, 42397",,,,,
"42431",,,,,,,"42395, 42396, 42397",,,,,
"42435",,,,"42399, 42425, 42451, 42452, 42458",,,"42346, 42355, 42357, 42358",,,,,
"42436",,,,"42355, 42357",,,"42346, 42355, 42357, 42358",,,,,
"42437",,,,"42355, 42357",,,,,,,,
"42438",,,,"42355, 42357",,,,,,,,
"42442","42339, 42340, 42385, 42386",,,,,"42339, 42385",,,"42339, 42340, 42385, 42386",,,"42339, 42385"
"42443","42339, 42340, 42385, 42386","42339, 42340, 42385, 42386","42339, 42340, 42385, 42386","42339, 42340, 42385, 42386","42339, 42340, 42385, 42386","42339, 42385",,,"42339, 42340, 42385, 42386","42339, 42340, 42385, 42386","42339, 42340, 42385, 42386","42339, 42385"
"42444","42339, 42340, 42385, 42386","42339, 42340, 42385, 42386","42339, 42340, 42385, 42386","42339, 42340, 42385, 42386","42339, 42340, 42385, 42386",,,,"42339, 42340, 42385, 42386","42339, 42340, 42385, 42386","42339, 42340, 42385, 42386",
"42451",,,,"42399, 42425, 42435, 42458",,,,,,,,
"42452",,,,"42399, 42425, 42435, 42458",,,,,,,,
"42458",,,,"42399, 42425, 42435, 42451, 42452",,,,,,,,
"42475",,,,,,,"42479",,,,,
"42479",,,,,,,"42475",,,,,
"42492","42495, 42496",,,,,,,,,"42495, 42496","42495, 42496",
